全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0011,巴拿马运河附加费,,PCTF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,巴拿马运河附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55803,"巴拿马运河附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0012,洛杉矶转运火车通道费,,ACS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,洛杉矶转运火车通道费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"洛杉矶转运火车通道费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0013,跨境运费,,FRT,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55787,"Charges related to 跨境运费, specific concept and rates need further confirmation based on actual business requirements."
FC0014,基础运价附加费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,基础运价附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"基础运价附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0015,燃油附加（干线）,,FSC,CNY,应税,专票/普票,跨境运输费用,,船公司,,,燃油附加（干线），燃油附加费的简称，由承运人收取以反映燃油价格变动的附加费用。,应付,,"燃油附加（干线）, Abbreviated form of fuel surcharge, collected by carriers to reflect fuel price fluctuations."
FC0016,货币贬值附加费,,CAF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,货币贬值附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01011,"货币贬值附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0017,港口附加费,,PS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,港口附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,0023,"港口附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0018,低硫附加费,,LSS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,低硫附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55779   , 655229","低硫附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0019,环保附加费,Surabaya Channel Fee,SCF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,环保附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55912,"环保附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0020,运河/通道附加费,,CSC,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,运河/通道附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"运河/通道附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0021,安全附加费,,SSC,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,安全附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"安全附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0022,危险品附加费,,DGS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,危险品附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55788,"危险品附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0023,超重费,,OWC,CNY,应税,专票/普票,特殊科目,,待确认,,,超重费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"AIR01003, 655256","Charges related to 超重费, specific concept and rates need further confirmation based on actual business requirements."
FC0024,超限费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,超限费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55140   , 55140, 55249","Charges related to 超限费, specific concept and rates need further confirmation based on actual business requirements."
FC0025,战争附加费,,WAR,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,战争附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"战争附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0026,船东安全费,,CSF,CNY,应税,专票/普票,特殊科目,,待确认,,,船东安全费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 船东安全费, specific concept and rates need further confirmation based on actual business requirements."
FC0027,船舶附加费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,船舶附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"船舶附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0028,其他费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,其他费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 其他费用, specific concept and rates need further confirmation based on actual business requirements."
FC0029,改港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改港费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655234,"Charges related to 改港费, specific concept and rates need further confirmation based on actual business requirements."
FC0030,滞签费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,滞签费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55158,"Charges related to 滞签费, specific concept and rates need further confirmation based on actual business requirements."
FC0031,滞纳金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,滞纳金相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55311,"Charges related to 滞纳金, specific concept and rates need further confirmation based on actual business requirements."
FC0032,合票费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,合票费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,2223,"Charges related to 合票费, specific concept and rates need further confirmation based on actual business requirements."
FC0033,分票费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,分票费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OPN057, OPN070, 55300","Charges related to 分票费, specific concept and rates need further confirmation based on actual business requirements."
FC0034,订舱费,,,CNY,应税,专票/普票,特殊科目,订舱,待确认,,,订舱费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"SEAN090 , 55282","Charges related to 订舱费, specific concept and rates need further confirmation based on actual business requirements."
FC0035,改配费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改配费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"655236  , 55784","Charges related to 改配费, specific concept and rates need further confirmation based on actual business requirements."
FC0036,条码费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,条码费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55269   , 55269","Charges related to 条码费, specific concept and rates need further confirmation based on actual business requirements."
FC0037,补贴,,,CNY,应税,专票/普票,特殊科目,,待确认,,,补贴相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55852   , 55181","Charges related to 补贴, specific concept and rates need further confirmation based on actual business requirements."
FC0038,加载费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,加载费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655242,"Charges related to 加载费, specific concept and rates need further confirmation based on actual business requirements."
FC0039,验货费,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,验货费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,OPN058,"Charges related to 验货费, specific concept and rates need further confirmation based on actual business requirements."
FC0040,日元贬值附加费,,YAS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,日元贬值附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"日元贬值附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0041,成本附加费,,CRS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,成本附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"成本附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0042,亚丁湾附加费,,AGS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,亚丁湾附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"亚丁湾附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0043,押运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,押运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55302,"Charges related to 押运费, specific concept and rates need further confirmation based on actual business requirements."
FC0044,紧急成本附加费,,ECRS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,紧急成本附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01013,"紧急成本附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0045,旺季附加费,,PSS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,旺季附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01016,"旺季附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0046,综合费率上涨附加费,,GRI,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,综合费率上涨附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01017,"综合费率上涨附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0047,集装箱不平衡附加费,,CIC,CNY,应税,专票/普票,跨境运输费用,内装,船公司/航空公司,,,集装箱不平衡附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"CIS, SEA01012","集装箱不平衡附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0048,运费恢复调整费,,RRI,CNY,应税,专票/普票,特殊科目,,待确认,,,运费恢复调整费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 运费恢复调整费, specific concept and rates need further confirmation based on actual business requirements."
FC0049,跨境运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境运输费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 跨境运输费用, specific concept and rates need further confirmation based on actual business requirements."
FC0050,集装箱费用,,,CNY,应税,专票/普票,装卸费用,内装,装箱队/货代,,,集装箱费用，将货物装入集装箱的服务费用，包括人工、设备使用等成本。,应付,,"集装箱费用, Container loading fee including labor and equipment costs for stuffing cargo into containers."
FC0051,集装箱租/售及使用费用,,,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,集装箱租/售及使用费用，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"集装箱租/售及使用费用, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0052,租箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,集装箱超期使用费，当使用集装箱时间超过免费期限时产生的费用，通常按天计算。,应付,"55848   , 655177, 55177","Container rental fee for overtime usage when container usage exceeds the free time limit, usually calculated daily."
FC0053,调箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,调箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,995,"调箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0054,提箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/租箱公司,,,集装箱提取费用，在箱源短缺地区为调节供需平衡而收取的费用，用于覆盖供应商的额外调配成本。,应付,"55161   , 55732, 55160, 55161","Container pickup charge to balance supply and demand in areas with container shortage, covering additional repositioning costs."
FC0055,放箱费,,,CNY,应税,专票/普票,集装箱费用,,拖车公司/堆场,,,集装箱放置费，当箱子不能直接进港时，需要临时放置产生的费用。,应付,0061,Container drop-off fee when containers cannot be directly delivered to port and need temporary placement.
FC0056,押箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,押箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,OPN059,"押箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0057,售箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,售箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55819,"售箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0058,购箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,购箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,655176,"购箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0059,指箱号费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,指箱号费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEAN095,"指箱号费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0060,铅封费,,,CNY,应税,专票/普票,集装箱费用,,码头/海关,,,集装箱铅封费用，为集装箱加装铅封以确保运输安全的费用。,应付,"CS001024, 1084, 55727",Container seal fee for installing seals to ensure transport security.
FC0061,集装箱服务费,,CHC,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,集装箱服务费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01108,"集装箱服务费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0062,集装箱设备交接单费,,EIR/CMR,CNY,应税,专票/普票,集装箱费用,"内装,设备保护",船公司/箱东,,,集装箱设备交接单费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"CSN052, 655227, 55273","集装箱设备交接单费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0063,箱使费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,箱使费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55152, 55193","箱使费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0064,套箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,套箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55266,"套箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0065,集装箱维护费用,,,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,集装箱维护费用，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"集装箱维护费用, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0066,洗箱费,,,CNY,应税,专票/普票,集装箱费用,,清洗服务商,,,集装箱清洗费，对集装箱进行专业清洗服务的费用，特别适用于运输食品、化学品等特殊货物后。,应付,"SEAN076 , 55194","Container cleaning fee for professional washing services, especially after transporting food, chemicals, or other special cargo."
FC0067,修箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,修箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMSN083 , 55751","修箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0068,集装箱改装费,,,CNY,应税,专票/普票,集装箱费用,内装,船公司/箱东,,,集装箱改装费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,655235,"集装箱改装费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0069,代垫改装费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,代垫改装费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55199,"代垫改装费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0070,箱检费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,箱检费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"0382, 55782","箱检费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0071,港口/码头/场站作业费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口/码头/场站作业费用，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"港口/码头/场站作业费用, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0072,港杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港杂费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"SEA01003, 0004, 20070701, 655258, 8011, 55774, 55305, 55197, OP009007","港杂费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0073,倒箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,倒箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,0223,"倒箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0074,掏箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,掏箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,WMS01008,"掏箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0075,预进港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预进港费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55308,"Charges related to 预进港费, specific concept and rates need further confirmation based on actual business requirements."
FC0076,进港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,进港费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"655245  , 655247","Charges related to 进港费, specific concept and rates need further confirmation based on actual business requirements."
FC0077,吊装费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,吊装费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01042,"吊装费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0078,搬倒费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,搬倒费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMSN088 , 0224","搬倒费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0079,危险品监护费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,危险品监护费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55184   , 55184","Charges related to 危险品监护费, specific concept and rates need further confirmation based on actual business requirements."
FC0080,码头操作费,,THC,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,THC(Terminal Handling Charges)，涵盖集装箱从船上到码头堆场或从码头堆场到船上的所有相关操作费用，包括装卸、堆存、绑扎等。,应付,55119,"THC (Terminal Handling Charges), covering all container operations from ship to terminal yard or vice versa, including loading/unloading, stacking, lashing."
FC0081,目的港码头操作费,,DTHC,CNY,应税,专票/普票,码头/港口/场站费用,清关,目的港码头,,,DTHC(Destination Terminal Handling Charges)，目的港集装箱码头装卸作业费，包括接收、堆放、搬运集装箱到指定位置的费用。,应付,"SEAN074 , 55119, SEA01010, 55156, OP009004","DTHC (Destination Terminal Handling Charges), fees for receiving, stacking, and moving containers at the destination port."
FC0082,启运港码头操作费,,OTHC,CNY,应税,专票/普票,码头/港口/场站费用,,启运港码头,,,OTHC(Original Terminal Handling Charges)，启运港码头操作费，覆盖起运港集装箱码头装卸作业的所有费用。,应付,"SEA01002, 55119, SEA01025","OTHC (Original Terminal Handling Charges), covering all container terminal handling operations at the origin port."
FC0083,落箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,落箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55307, 655251, 655252","落箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0084,场站费,,CFS,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,场站费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMS01012, 655254","场站费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0085,转栈费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,转栈费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01074,"Charges related to 转栈费, specific concept and rates need further confirmation based on actual business requirements."
FC0086,内支线港杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,驳船,码头/场站,,,内支线港杂费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"内支线港杂费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0087,安检费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,安检费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,WMS01009,"安检费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0088,代垫码头杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,代垫码头杂费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55079,"代垫码头杂费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0089,代垫机场杂费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫机场杂费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55847,"Charges related to 代垫机场杂费, specific concept and rates need further confirmation based on actual business requirements."
FC0090,代垫铁路箱站杂费,,,CNY,应税,专票/普票,集装箱费用,国内铁路,船公司/箱东,,,代垫铁路箱站杂费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55778,"代垫铁路箱站杂费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0091,港口加急费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口加急费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OPN052  , 55716, 55190, OPN052","港口加急费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0092,港务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,港务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"CSN051  , CSN051","Charges related to 港务费, specific concept and rates need further confirmation based on actual business requirements."
FC0093,疏港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,疏港费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"SEA01075, 55227","Charges related to 疏港费, specific concept and rates need further confirmation based on actual business requirements."
FC0094,三检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,三检费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEAN075,"Charges related to 三检费, specific concept and rates need further confirmation based on actual business requirements."
